202003,0.6496268325626793,101429
202004,0.7217763666611993,170708
202005,0.677281463129787,176389
202006,0.6980973891499253,159833
202007,0.7150796710357235,155640
202008,0.6962806693422047,160217
202009,0.7166459440111526,159246
202010,0.6910461538461539,162500
202011,0.6995298729423375,145918
202012,0.6783809773581607,148707
202101,0.6838964691573867,131555
202102,0.7231729640118809,115816
202103,0.6560645248097594,133778
202104,0.6535367588195519,128663
202105,0.6925005206364877,129649
202106,0.710007352699099,91123
202107,0.7136920990858326,68587
202108,0.7057791684445076,63279
202109,0.7115956587681459,50769
202110,0.7488842871934022,56018
202111,0.6645298715913429,49763
202112,0.7610399790958976,61232
202201,0.6286320633094666,50419
202202,0.6360423178648713,41590
202203,0.6571552780302731,50606
202204,0.6727472584993065,38209
