model,params,accuracy,train_time
RF,"Trees:10, Depth:3",0.6787579750866682,30.55156922340393
RF,"Trees:10, Depth:6",0.6917751730687527,12.562363624572754
RF,"Trees:50, Depth:3",0.6777654405175461,20.305662393569946
RF,"Trees:50, Depth:6",0.6949360505454775,32.39362597465515
GBT,"Depth:3, Iter:10",0.6848381418896001,23.060808420181274
GBT,"Depth:3, Iter:25",0.6868065497760847,45.63940215110779
GBT,"Depth:6, Iter:10",0.7092444955389499,28.993822813034058
GBT,"Depth:6, Iter:25",0.7220010639399338,63.18484878540039
