model,params,accuracy,train_time
RF,"Trees:10, Depth:3",0.6818343562151824,21.20537757873535
RF,"Trees:10, Depth:6",0.692505887967363,11.886473178863525
RF,"Trees:50, Depth:3",0.6765384583343746,18.883712768554688
RF,"Trees:50, Depth:6",0.692303572767422,31.559447050094604
GBT,"Depth:3, Iter:10",0.6865399697479272,24.139567136764526
GBT,"Depth:3, Iter:25",0.6909587717325203,45.711814165115356
GBT,"Depth:6, Iter:10",0.7095860512000267,27.888554573059082
GBT,"Depth:6, Iter:25",0.7246180705556409,62.37232422828674
