Feature,Importance
phq4_score,0.8106143381000996
social_level,0.02968352437787915
sleep_duration,0.05145131834228518
daily_steps,0.024073249215030013
covid_total,0.01284695289140708
gender_index,0.019112437356603628
race_index,0.052218179716695186
